iter	Passed	Remaining
0	0	74
1	1	67
2	1	64
3	2	58
4	3	58
5	3	58
6	4	56
7	4	56
8	5	54
9	6	54
10	6	53
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	49
18	11	49
19	12	49
20	12	48
21	13	47
22	14	47
23	14	46
24	15	45
25	15	45
26	16	44
27	17	44
28	17	43
29	18	43
30	19	42
31	19	42
32	20	41
33	21	40
34	21	40
35	22	39
36	23	39
37	23	38
38	24	38
39	25	37
40	25	37
41	25	35
42	26	35
43	27	34
44	27	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
